event_date,event_name,dates,num_flooded,days_away_from_event,max_days_away,num_dates,AWDR-18,AWDR-19,AWDR-3,AWND-18,AWND-19,AWND-20,AWND-3,WDF2-19,WDF2-20,WGF6-18,WSF2-19,WSF2-20,gw_av-10,gw_av-11,gw_av-4,gw_av-5,gw_av-6,gw_av-8,gw_av-9,hht-17,hht-18,ht-17,ht-18,llt-17,llt-18,lt-17,lt-18,r15-11_td-17,r15-11_td-18,r15-12_td-17,r15-12_td-18,r15-13_td-17,r15-13_td-18,r15-14_td-17,r15-14_td-18,r15-15_td-17,r15-15_td-18,r15-16_td-17,r15-16_td-18,r15-1_td-17,r15-1_td-18,r15-21_td-17,r15-21_td-18,r15-2_td-17,r15-2_td-18,r15-7_td-17,r15-7_td-18,r15mx-1,r15mx-11,r15mx-12,r15mx-13,r15mx-14,r15mx-15,r15mx-16,r15mx-2,r15mx-21,r15mx-7,r3d-1,r3d-11,r3d-12,r3d-13,r3d-14,r3d-15,r3d-16,r3d-19,r3d-2,r3d-20,r3d-21,r3d-7,rd-1,rd-11,rd-12,rd-13,rd-14,rd-15,rd-16,rd-19,rd-2,rd-20,rd-21,rd-7,rhr-11_td-17,rhr-11_td-18,rhr-12_td-17,rhr-12_td-18,rhr-13_td-17,rhr-13_td-18,rhr-14_td-17,rhr-14_td-18,rhr-15_td-17,rhr-15_td-18,rhr-16_td-17,rhr-16_td-18,rhr-1_td-17,rhr-1_td-18,rhr-21_td-17,rhr-21_td-18,rhr-2_td-17,rhr-2_td-18,rhr-7_td-17,rhr-7_td-18,rhrmx-1,rhrmx-11,rhrmx-12,rhrmx-13,rhrmx-14,rhrmx-15,rhrmx-16,rhrmx-2,rhrmx-21,rhrmx-7,td_av-17,td_av-18
2010-09-30,Nicole-2010-09-30,"['2010-09-30T00:00:00.000000000' '2010-10-01T00:00:00.000000000'
 '2010-10-04T00:00:00.000000000']",101.0,[ 0.  1.  4.],4.0,3.0,,291.66666666666669,,,11.6,12.6,,83.333333333333329,160.0,,27.266666666666666,24.666666666666668,1.3867634259240003,3.9574499999966668,1.1682749999990001,4.1499254629599998,11.109546759269998,4.9525967592566671,3.6603356481466669,3.4189999999999996,3.8160000000000003,3.0019999999999998,3.4189999999999996,0.57100000000000006,0.495,1.2009999999999998,1.171,-0.254,-0.40266666666699996,1.1559999999999999,1.43366666667,1.8045,1.8734999999999999,1.49166666667,1.6096666666699999,0.66099999999999992,0.77900000000000003,1.1559999999999999,1.43366666667,,,1.0313333333299999,1.0596666666700001,,,1.8045,1.8734999999999999,,0.60999999999999999,0.63,0.68999999999999995,0.52000000000000002,0.56999999999999995,0.59999999999999998,,0.55000000000000004,0.67000000000000004,0.0,4.8799999999999999,3.4199999999999999,3.4100000000000001,2.98,2.98,3.0600000000000001,3.5499999999999998,0.0,4.0899999999999999,3.3100000000000001,3.5,0.0,9.6199999999999992,11.549999999999999,11.74,7.6300000000000008,6.0800000000000001,8.1500000000000004,8.1999999999999993,0.0,9.3300000000000001,9.2100000000000009,11.280000000000001,-0.254,-0.40266666666699996,1.0694999999999999,1.26,1.0694999999999999,1.26,1.6375,1.629,1.2613333333299999,1.0753333333299999,1.0313333333299999,1.0596666666700001,,,0.9385,0.92700000000000005,,,0.56566666666699994,0.70200000000000007,,1.29,1.5900000000000001,1.3999999999999999,1.1699999999999999,0.90000000000000002,1.3100000000000001,,1.49,1.4299999999999999,1.3839902777766666,1.5219583333323332
2010-12-16,Snow-2010-12-16,['2010-12-16T00:00:00.000000000'],2.0,[ 0.],0.0,1.0,,213.0,,,2.8999999999999999,2.5,,210.0,200.0,,17.0,13.0,1.11995555556,1.61274305556,-1.37119305556,3.2173319444400001,6.3990097222199998,3.39242222222,1.0880125,0.82299999999999995,0.89900000000000002,0.54799999999999993,0.77400000000000002,-1.1479999999999999,-1.2990000000000002,-1.0529999999999999,-1.2070000000000001,,,0.53949999999999998,0.6845,0.12833333333300001,0.083000000000000004,0.013000000000000001,-0.0050000000000000001,0.12833333333300001,0.083000000000000004,0.45450000000000002,0.58399999999999996,,,-0.91349999999999998,-1.0629999999999999,,,-0.58933333333299998,-0.67599999999999993,,0.0,0.029999999999999999,0.02,0.040000000000000001,0.02,0.080000000000000002,,0.02,0.029999999999999999,0.0,0.01,-8.881784197e-16,0.02,0.080000000000000002,0.01,0.01,0.11,0.0,0.080000000000000002,0.01,0.12,0.0,0.0,0.29999999999999999,0.20999999999999999,0.45000000000000001,0.28999999999999998,0.19,0.41999999999999998,0.0,0.34999999999999998,0.10000000000000001,0.41999999999999998,,,0.54233333333300004,0.73166666666700009,0.317,0.26133333333299996,0.23649999999999999,0.16899999999999998,0.54233333333300004,0.73166666666700009,0.53949999999999998,0.6845,,,-1.0465,-1.163,,,-0.32150000000000001,-0.36749999999999999,,-5.0653925498499999e-16,0.070000000000000007,0.050000000000000003,0.12,0.059999999999999998,0.12,,0.029999999999999999,0.11,-0.20850416666700003,-0.195775
2011-08-27,Irene-2011-08-27,"['2011-08-24T00:00:00.000000000' '2011-08-27T00:00:00.000000000'
 '2011-08-28T00:00:00.000000000' '2011-08-29T00:00:00.000000000']",110.0,[-3.  0.  1.  2.],2.0,4.0,133.61137171620001,133.0,,8.5641029700174993,13.975000000000001,14.725000000000001,,130.0,187.5,13.953946770230001,27.475000000000001,26.774999999999999,0.91964791666675005,2.1920291666675,0.31828020833349996,0.13996805555525005,6.9975895833350004,4.6206111111100006,1.1502135416644999,4.726,5.21,2.073,2.4019999999999997,-0.55799999999999994,-0.82700000000000007,2.5980000000000003,2.7989999999999999,2.8730000000000002,3.4643333333299999,2.9296666666699998,3.4993333333300001,2.8999999999999999,3.512,2.8999999999999999,3.512,2.9769999999999999,3.53233333333,2.8730000000000002,3.4643333333299999,,,2.8999999999999999,3.512,,,2.9296666666699998,3.4993333333300001,,0.32000000000000001,0.33000000000000002,0.41999999999999998,0.38,0.31,0.37,,0.34999999999999998,0.32000000000000001,0.0,0.01,0.66000000000000003,0.070000000000000007,0.34999999999999998,0.19,0.75,0.34999999999999998,0.0,0.11,0.40000000000000002,0.19,0.0,7.0299999999999994,8.370000000000001,7.6200000000000001,6.7800000000000002,7.2000000000000002,8.2699999999999996,8.0999999999999996,0.0,6.3200000000000003,8.4199999999999999,7.4199999999999999,2.8969999999999998,3.29066666667,2.8730000000000002,3.4643333333299999,2.9249999999999998,3.3839999999999999,2.9249999999999998,3.3839999999999999,2.8999999999999999,3.512,2.8730000000000002,3.4643333333299999,,,2.9249999999999998,3.3839999999999999,,,2.8730000000000002,3.4643333333299999,,1.0900000000000001,1.22,1.1200000000000001,0.93000000000000005,1.02,1.3,,1.1000000000000001,1.03,1.04581354166675,1.14569166666675
2012-10-28,Sandy-2012-10-28,"['2012-10-27T00:00:00.000000000' '2012-10-28T00:00:00.000000000'
 '2012-10-29T00:00:00.000000000']",105.0,[-1.  0.  1.],1.0,3.0,110.73012452123334,123.0,107.6285000001,11.923954023010003,23.800000000000001,24.0,16.168342592600002,20.0,16.666666666666668,20.061461206900002,37.633333333333333,39.0,1.2509879629633334,2.3060120370399999,0.81361898148233347,3.5276990353333333,7.1242953703699996,4.1874777777766665,1.7793615740756668,5.4400000000000004,5.7120000000000006,5.0489999999999995,5.407,1.5940000000000001,1.5680000000000001,3.2869999999999999,3.2810000000000001,3.2106666666699999,3.1506666666699998,5.0209999999999999,5.3639999999999999,5.0209999999999999,5.3639999999999999,4.1513333333300002,4.8346666666699996,4.9420000000000002,5.3959999999999999,4.5656666666700003,5.2066666666700003,,,5.0685000000000002,5.3439999999999994,,,4.6165000000000003,4.8045,,0.12,0.20999999999999999,0.14000000000000001,0.13,0.14999999999999999,0.12,,0.16,0.089999999999999997,0.0,0.44,0.45000000000000001,0.33000000000000002,0.16,0.28999999999999998,0.28999999999999998,0.14999999999999999,0.0,0.25,0.51000000000000001,0.54000000000000004,0.0,5.9100000000000001,6.4699999999999998,6.4299999999999997,5.25,7.4199999999999999,6.3399999999999999,5.9100000000000001,0.0,5.1099999999999994,6.8899999999999997,1.9399999999999999,3.5255000000000001,4.1520000000000001,4.7525000000000004,5.4170000000000007,3.72566666667,4.3973333333299998,3.72566666667,4.3973333333299998,3.9355000000000002,4.6310000000000002,4.1513333333300002,4.8346666666699996,,,3.72566666667,4.3973333333299998,,,4.6346666666700003,4.8576666666700001,,0.39000000000000001,0.57999999999999996,0.40000000000000002,0.38,0.52000000000000002,0.42999999999999999,,0.47999999999999998,0.23000000000000001,2.7026569444433335,2.7960305555533331
2013-10-09,Heavy Rain-2013-10-09,"['2013-10-08T00:00:00.000000000' '2013-10-09T00:00:00.000000000'
 '2013-10-10T00:00:00.000000000']",36.0,[-1.  0.  1.],1.0,3.0,41.512499999999996,25.666666666666668,52.956282407400003,8.7694027777766674,20.800000000000001,21.566666666666663,12.863050925933331,36.666666666666664,26.666666666666668,15.315069444466667,32.0,33.100000000000001,0.86621388888866668,2.1362972222200001,-0.11041111111033342,2.4338578703726665,6.0076365740733335,3.0412500000000002,0.61801157407366669,4.0454999999999997,4.3795000000000002,3.3675000000000002,3.6175000000000002,1.155,1.014,2.1059999999999999,2.0600000000000001,4.1096666666699999,4.3766666666700003,3.8895,4.2175000000000002,3.8895,4.2175000000000002,3.5989999999999998,3.9944999999999999,2.254,2.1983333333299999,3.9446666666699999,4.1176666666699999,,,3.8895,4.2175000000000002,,,4.1029999999999998,4.3419999999999996,,0.23999999999999999,0.17999999999999999,0.19,1.3500000000000001,0.40000000000000002,0.22,,0.20000000000000001,0.22,0.0,0.46999999999999997,0.53000000000000003,0.83999999999999997,0.58999999999999997,2.2599999999999998,1.6799999999999999,0.69999999999999996,0.0,0.64000000000000001,0.68999999999999995,0.83999999999999997,0.0,4.5299999999999994,4.1899999999999995,3.7700000000000005,8.0099999999999998,4.79,3.6899999999999999,2.98,0.0,3.5999999999999996,4.0499999999999998,4.4500000000000002,3.7645,4.1239999999999997,3.7313333333299998,4.0826666666699998,3.8895,4.2175000000000002,3.3595000000000002,3.6844999999999999,3.8933333333300002,4.0606666666699995,3.9446666666699999,4.1176666666699999,,,3.8933333333300002,4.0606666666699995,,,3.7313333333299998,4.0826666666699998,,0.48999999999999999,0.45000000000000001,0.46999999999999997,3.0699999999999998,0.56000000000000005,0.40000000000000002,,0.46000000000000002,0.5,2.2124986111133329,2.2772305555566668
2014-05-16,Heavy Rain-2014-05-16,['2014-05-16T00:00:00.000000000'],35.0,[ 0.],0.0,1.0,222.54583333299999,213.0,216.666291667,6.6208333333300002,8.3000000000000007,7.7999999999999998,5.0121527777800008,200.0,200.0,9.7210000000000001,23.899999999999999,21.0,2.3678305555599999,3.4780597222199994,0.93584999999999996,2.7496944444400002,9.4070555555600013,3.7113833333300001,2.6955374999999999,2.4930000000000003,2.7850000000000001,1.7450000000000001,1.9390000000000001,,,-0.86299999999999999,-1.1054999999999999,0.13133333333300001,-0.25266666666699999,0.378666666667,0.28533333333299998,0.13133333333300001,-0.25266666666699999,1.6865000000000001,1.8354999999999999,1.4569999999999999,1.347,0.53649999999999998,0.49049999999999999,0.13133333333300001,-0.25266666666699999,1.6865000000000001,1.8354999999999999,,,0.13133333333300001,-0.25266666666699999,0.68999999999999995,0.45000000000000001,0.41999999999999998,0.59999999999999998,0.23000000000000001,0.53000000000000003,0.40000000000000002,,0.40999999999999998,0.76000000000000001,0.089999999999999997,-1.94289029309e-15,-1.84574577844e-15,-4.6317116808599998e-16,4.1806835770999999e-15,1.0061396160700002e-15,1.6514567491300002e-15,-2.5500435096900001e-16,0.0,-3.8857805861900003e-16,0.050000000000000003,-2.1788126858299999e-15,3.9300000000000002,3.1499999999999999,3.3700000000000001,3.8100000000000001,2.0499999999999998,2.3599999999999999,2.8999999999999999,3.0099999999999998,0.0,3.3300000000000001,2.9100000000000001,4.2599999999999998,0.53649999999999998,0.49049999999999999,0.67566666666700004,0.64733333333300003,0.53649999999999998,0.49049999999999999,1.7180000000000002,1.90933333333,1.6666666666699999,1.72366666667,0.67566666666700004,0.64733333333300003,0.378666666667,0.28533333333299998,0.67566666666700004,0.64733333333300003,,,0.53649999999999998,0.49049999999999999,2.23,1.4399999999999999,1.25,1.77,0.67000000000000004,1.2,0.98999999999999999,,1.0600000000000001,2.1099999999999999,0.57685416666699996,0.54374999999999996
2014-06-09,unnamed-2014-06-09,['2014-06-09T00:00:00.000000000'],1.0,[ 0.],0.0,1.0,194.67782426799999,192.0,205.19620833299999,5.7306276150600004,10.699999999999999,7.7999999999999998,5.7105416666699993,180.0,160.0,8.4403765690399997,17.0,15.0,1.7298597222200001,2.58240972222,-0.12825972222199999,0.94810138888899997,6.9987083333300006,2.8776472222200002,1.53192222222,1.726,1.893,0.98099999999999998,1.1120000000000001,-0.84999999999999998,-1.1779999999999999,-0.7609999999999999,-1.0170000000000001,-0.64000000000000001,-0.79099999999999993,1.4684999999999999,1.4650000000000001,,,,,,,,,,,1.54066666667,1.5913333333299999,,,,,0.0,0.01,0.089999999999999997,0.0,0.0,0.0,0.0,,0.040000000000000001,0.0,0.0,-1.7763568394e-15,-1.7763568394e-15,-4.5796699765800004e-16,4.0245584642700003e-15,8.881784197e-16,1.7763568394e-15,-4.4408920985e-16,0.0,-4.4408920985e-16,0.029999999999999999,-1.7763568394e-15,0.0,0.01,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.070000000000000007,0.0,-0.64000000000000001,-0.79099999999999993,1.54066666667,1.5913333333299999,,,,,,,,,,,1.54066666667,1.5913333333299999,,,,,-3.3133218391199999e-16,0.01,0.12,2.3592239273299999e-16,-2.8987229283600001e-15,-1.62890534394e-15,-1.10154940725e-15,,0.040000000000000001,-2.0834028946500003e-15,0.33657500000000001,0.27562083333299997
2014-06-19,Thunderstorms-2014-06-19,['2014-06-20T00:00:00.000000000'],5.0,[ 1.],1.0,1.0,201.54374999999999,138.0,176.87768750000001,5.1000416666699993,7.25,8.1999999999999993,5.5133263888900004,120.0,185.0,7.6482708333349994,18.550000000000001,23.050000000000001,1.6378847222199999,2.5607277777799999,-0.073998611111149998,1.6489743055550004,6.7743479166650005,2.8836798611100001,1.5973833333349998,2.044,2.1800000000000002,1.768,1.9340000000000002,-0.64300000000000002,-0.8859999999999999,-0.66599999999999993,-0.81999999999999995,1.2615000000000001,1.5535000000000001,1.2615000000000001,1.5535000000000001,1.2615000000000001,1.5535000000000001,1.1733333333299998,1.399,1.1733333333299998,1.399,1.1733333333299998,1.399,1.2615000000000001,1.5535000000000001,1.1733333333299998,1.399,,,1.1733333333299998,1.399,0.25,0.20999999999999999,0.54000000000000004,0.42999999999999999,0.17000000000000001,0.98999999999999999,1.25,,0.66000000000000003,0.51000000000000001,-1.1102230246299999e-16,-1.9984014443299999e-15,-1.8509499488699996e-15,-4.4408920985e-16,4.0523140398799999e-15,9.2981178312399991e-16,1.76247905159e-15,-4.1633363423400003e-16,0.0,-5.5511151231300011e-16,0.029999999999999999,-1.66533453694e-15,0.47999999999999998,0.42999999999999999,1.1399999999999999,0.57999999999999996,0.32000000000000001,1.3799999999999999,2.0199999999999996,0.33000000000000002,0.0,0.16,1.22,0.91000000000000003,1.2615000000000001,1.5535000000000001,0.77633333333299992,1.1666666666700001,1.0585,1.2975000000000001,0.77633333333299992,1.1666666666700001,0.77633333333299992,1.1666666666700001,0.77633333333299992,1.1666666666700001,1.1733333333299998,1.399,0.77633333333299992,1.1666666666700001,,,1.0585,1.2975000000000001,0.35999999999999999,0.37,1.1299999999999999,0.48999999999999999,0.20999999999999999,1.3100000000000001,1.9199999999999999,,1.1200000000000001,0.83999999999999997,0.58262916666700004,0.58111874999999991
2014-07-03,Arthur-2014-07-03,['2014-07-04T00:00:00.000000000'],8.0,[ 1.],1.0,1.0,216.27291666650001,263.5,187.44468749999999,8.8856666666649993,13.550000000000001,13.649999999999999,7.9534861111149997,280.0,240.0,13.990583333350001,24.949999999999999,26.600000000000001,1.4500152777799999,2.3380819444449998,-0.37769027777749997,1.2465631944464999,6.4179840277799993,2.7126395833300001,1.3505770833349999,2.0800000000000001,2.2050000000000001,1.7450000000000001,1.9259999999999999,0.13100000000000001,-0.095000000000000001,0.66299999999999992,0.67599999999999993,1.48966666667,1.639,1.48966666667,1.639,1.48966666667,1.639,0.82200000000000006,0.89900000000000002,0.79049999999999998,0.96150000000000002,1.71566666667,1.895,1.7390000000000001,1.903,0.19033333333299998,0.23966666666700001,,,1.7390000000000001,1.903,0.16,0.28000000000000003,0.01,0.33000000000000002,0.20999999999999999,0.23000000000000001,0.25,,0.29999999999999999,0.23999999999999999,-6.2450045135199999e-17,0.01,-1.7763568394e-15,-4.3021142204200001e-16,0.089999999999999997,8.6042284408400003e-16,0.02,-3.5388358909900004e-16,0.0,-5.9327542878400009e-16,0.029999999999999999,-1.7208456881700002e-15,0.87,1.28,0.02,1.28,1.27,1.3999999999999999,1.1499999999999999,1.46,0.0,1.03,1.6800000000000002,1.03,1.6485000000000001,1.8899999999999999,1.48966666667,1.639,1.6485000000000001,1.8899999999999999,0.79049999999999998,0.96150000000000002,0.79049999999999998,0.96150000000000002,0.80466666666700004,0.94033333333299995,1.6799999999999999,1.891,0.80466666666700004,0.94033333333299995,,,1.6799999999999999,1.891,0.28000000000000003,0.39000000000000001,0.01,0.38,0.55000000000000004,0.63,0.37,,0.46000000000000002,0.38,0.67079583333149995,0.66666041666499998
2014-07-09,Thunderstorms-2014-07-09,['2014-07-09T00:00:00.000000000'],2.0,[ 0.],0.0,1.0,225.89166666700001,218.0,230.590402778,6.7747916666699997,12.800000000000001,8.9000000000000004,7.9323194444399991,240.0,280.0,10.3330416667,31.100000000000001,36.899999999999999,1.3388249999999999,2.2933180555599999,-0.36928194444399998,-8.7400000000000002,6.423111111109999,2.7427152777799999,1.2871208333299999,1.3219999999999998,1.3880000000000001,0.35799999999999998,0.41700000000000004,-1.5930000000000002,-1.9295,,,0.7456666666670001,0.31166666666699999,1.0506666666700002,1.1540000000000001,0.73350000000000004,0.58550000000000002,0.93149999999999999,1.1385000000000001,0.8706666666670001,0.91099999999999992,1.0506666666700002,1.1540000000000001,0.8706666666670001,0.91099999999999992,0.93149999999999999,1.1385000000000001,,,0.8706666666670001,0.91099999999999992,0.63,0.5,0.47999999999999998,0.28999999999999998,0.39000000000000001,0.71999999999999997,0.32000000000000001,,0.54000000000000004,0.29999999999999999,-1.1102230246299999e-16,-1.9984014443299999e-15,-1.7763568394e-15,-4.4408920985e-16,3.9968028886500003e-15,8.881784197e-16,1.7763568394e-15,-4.4408920985e-16,0.0,-6.6613381477499995e-16,0.029999999999999999,-1.7763568394e-15,1.23,1.6000000000000001,1.76,1.3799999999999999,1.3100000000000001,2.1099999999999999,1.22,1.3500000000000001,0.0,1.3,1.7,1.45,0.80200000000000005,1.393,0.84633333333299998,1.09266666667,0.84633333333299998,1.09266666667,0.70200000000000007,0.98099999999999998,0.95366666666700006,1.36266666667,0.70200000000000007,0.98099999999999998,0.95366666666700006,1.36266666667,0.70200000000000007,0.98099999999999998,,,0.84633333333299998,1.09266666667,0.73999999999999999,1.02,1.28,0.66000000000000003,0.91000000000000003,1.0700000000000001,0.77000000000000002,,1.05,0.66000000000000003,-0.24677499999999999,-0.33012083333299996
