,event_date,event_name,num_flooded,WDF2,WSF2,AWDR,AWND,WGF6,ht,hht,lt,llt,r15_td,rhr_td,td_av,gw_av,r15mx,rhrmx,rd,r3d
21,2015-07-02,unnamed-2015-07-02,7.0,200.0,22.0333333333,197.385859568,6.56333217592,7.39297222222,1.832,2.4395,-0.9695,-0.8315,0.078314814815,0.456027777778,0.505675,2.62113809524,0.701111111111,1.68666666667,2.0775,0.00416666666667
22,2015-07-11,Thunderstorm-2015-07-11,10.0,50.0,21.45,121.077398148,5.1140625,5.40383333333,1.662,2.3905,-0.8315,-0.8315,0.258481481481,0.545657407408,0.723729166667,2.66176607143,0.665555555556,1.66777777778,1.745,0.01
23,2015-09-02,09/02/15-2015-09-02,1.0,230.0,23.05,225.087134238,4.23004861111,4.26075,1.893,2.256,-1.099,-1.4565,-0.696592592593,-0.769759259259,0.383664583333,1.76006964286,0.314444444444,0.462222222222,0.404166666667,0.1375
24,2015-09-17,unnamed-2015-09-17,1.0,57.5,17.8,79.9873425926,8.224828125,8.63074999998,2.6365,3.0265,-1.025,0.664,-0.162833333334,-0.162833333334,1.09437291667,1.7583514881,0.001,0.000999999999999,0.000833333333333,0.02
25,2015-09-24,Noreaster-2015-09-24,16.0,58.75,24.2,42.7649684387,9.87564583333,11.6691041667,3.7925,3.78875,0.6315,0.5085,1.8387,1.42079166667,1.92562916667,1.76608566468,0.068,0.132,0.615833333333,0.0258333333333
26,2015-09-29,Joaquin-2015-09-29,159.0,72.8571428571,28.5142857143,55.2916663334,10.5029479167,13.1438928571,4.5935,5.2905,3.0345,2.769,2.07629166667,2.49794166667,2.41909196429,2.9357345805,0.255,0.618,6.33916666667,0.550833333333
27,2015-10-30,unnamed-2015-10-30,1.0,217.5,15.775,147.523074063,5.49453819445,5.033875,1.824,2.592,-0.656,-1.16,-0.564508333333,-0.603183333333,0.599770833333,2.47636180555,0.022,0.034,0.0358333333333,0.215
28,2015-12-30,Heavy Rainfall-2015-12-30,3.0,205.0,18.0,128.655127369,5.13650686369,4.39744186047,2.1195,2.2295,-0.1185,-0.5315,1.62461666666,1.25780833333,0.759689583334,3.00822936508,0.08,0.258,0.724166666667,0.220833333333
29,2016-01-15,01/15/2016-2016-01-15,6.0,355.0,24.05,117.412717987,7.49490750591,7.79931914894,0.966,0.8845,-1.606,-1.9505,-0.9535,-0.615533333334,-0.25994375,2.7206484127,0.22,0.669,1.0625,0.00916666666667
30,2016-01-20,Jan Winter Weather-2016-01-20,26.0,198.333333333,31.0166666667,205.352022025,10.9808672605,9.37605724188,2.5375,3.9885,1.44525,-1.37225,2.33608333333,2.27943333334,0.714523611111,4.77054126984,0.28,0.628,2.53166666667,0.52
31,2016-02-01,unnamed-2016-02-01,5.0,160.0,24.85,229.796024309,10.2873571288,11.169543965,3.3875,3.7385,0.251,0.1085,-0.50565,-0.543425,0.693746874999,4.25930565476,0.162,0.446,2.44583333333,2.10479781753e-16
32,2016-02-24,February 24th Storm-2016-02-24,1.0,185.0,36.55,162.424215278,13.1492407407,13.1492407407,2.23075,2.23075,-0.59475,-0.59475,-0.4243,-0.459916666667,0.7799875,3.52109702381,0.251,0.515,0.71,0.226666666667
33,2016-02-25,unnamed-2016-02-25,8.0,126.25,18.575,156.927630208,10.1211516204,10.1211516204,3.256,3.8535,0.3705,-0.1885,0.862983333333,0.68855,1.02302760417,3.10026458129,0.073,0.209,0.919166666667,0.936666666667
