field_1,﻿recid,location,event,eventType,xcoord,ycoord,dt,_date,_time,lon,lat
28,496,COLONIAL AVENUE & W 26TH STREET,Nicole (9/30/2010),Flooded street,12129269.0001,3484853.50013,2010-09-30 09:18:10.000,9/30/2010 ,1900-01-01 09:18:00.000,-76.290142,36.872913
29,497,ARGONNE AVENUE & KITCHENER AVENUE,Nicole (9/30/2010),Flooded street,12138594,3485613.25011,2010-09-30 09:18:50.000,9/30/2010 ,1900-01-01 09:18:00.000,-76.258210,36.874395
30,498,6200 BLOCK OF GENEVA WAY,Nicole (9/30/2010),Flooded street,12146247.4835,3492832.46588,2010-09-30 09:56:04.000,9/30/2010 ,1900-01-01 09:56:00.000,-76.231460,36.893716
31,499,CHESAPEAKE BOULEVARD & FISHERMANS ROAD,Nicole (9/30/2010),Flooded street,12142328,3505821.87492,2010-09-30 09:57:12.000,9/30/2010 ,1900-01-01 09:57:00.000,-76.243797,36.929640
32,500,2000 BLOCK OF E OCEAN VIEW AVENUE,Nicole (9/30/2010),Flooded street,12150035.284,3508507.55066,2010-09-30 09:57:33.000,9/30/2010 ,1900-01-01 09:57:00.000,-76.217215,36.936506
33,501,6600 BLOCK OF AZALEA GARDEN ROAD,Nicole (9/30/2010),Flooded street,12152269.5,3496779.25001,2010-09-30 09:58:38.000,9/30/2010 ,1900-01-01 09:58:00.000,-76.210546,36.904154
34,503,1000 BLOCK OF WARWICK AVENUE,Nicole (9/30/2010),Flooded street,12142252.9914,3509873.3084,2010-09-30 09:59:42.000,9/30/2010 ,1900-01-01 09:59:00.000,-76.243723,36.940770
35,504,700 BLOCK OF EUWANEE PLACE,Nicole (9/30/2010),Flooded street,12141550.61,3508980.96572,2010-09-30 10:00:01.000,9/30/2010 ,1900-01-01 10:00:00.000,-76.246198,36.938366
36,505,100 BLOCK OF E WESTMONT AVENUE,Nicole (9/30/2010),Flooded street,12137377.8054,3508262.55838,2010-09-30 10:00:41.000,9/30/2010 ,1900-01-01 10:00:00.000,-76.260530,36.936666
37,506,E BAYVIEW BOULEVARD & STURGIS STREET,Nicole (9/30/2010),Flooded street,12144164.9999,3507633.74998,2010-09-30 10:01:19.000,9/30/2010 ,1900-01-01 10:01:00.000,-76.237366,36.934495
38,507,CHESAPEAKE BOULEVARD & MIDDLETON PLACE,Nicole (9/30/2010),Flooded street,12144023.0001,3494418.2499,2010-09-30 10:01:57.000,9/30/2010 ,1900-01-01 10:01:00.000,-76.238934,36.898217
39,508,6500 BLOCK OF CHESAPEAKE BOULEVARD,Nicole (9/30/2010),Flooded street,12143978.5648,3494705.83119,2010-09-30 10:02:38.000,9/30/2010 ,1900-01-01 10:02:00.000,-76.239063,36.899009
40,509,6200 BLOCK OF EDWARD STREET,Nicole (9/30/2010),Flooded street,12146437.201,3493026.31341,2010-09-30 10:02:55.000,9/30/2010 ,1900-01-01 10:02:00.000,-76.230795,36.894236
